lng,lat,visit_time,interest,recommendation_factor_1,recommendation_factor_2,recommendation_factor_3,recommendation_factor_4,near_node,opening_hours
-3.6095761,37.1899118,50,9,1,0.5,0.75,1,7736760671,['Mo-Sa 10:00-14:00']
-3.5982804,37.1748639,20,3,0.75,1,1,1,1690660456,['Mo-Su 05:30-22:00']
-3.6021055,37.1755138,57,1,1,0.5,0.25,0.25,7953859234,['Mo-Su 05:30-22:00']
-3.6128731,37.1815584,23,1,1,0.75,0.25,0.25,7809965863,['24/7']
-3.5927559,37.1809192,43,4,0.5,0.5,0.75,1,49937683,['Sa 09:30-14:00']
-3.6086771,37.1845962,55,4,1,0.75,0.75,1,7614344915,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']"
-3.59345185134582,37.1720645900501,56,6,0.25,0.5,1,0.5,8221916571,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']"
-3.5982398,37.1722959,25,6,1,0.5,0.25,0.25,8107928674,['Mo-Su 06:00-09:00']
-3.5964749,37.1757961,59,7,1,0.75,0.5,0.5,1509264443,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']"
-3.6098771,37.1865009,26,6,0.5,0.25,1,0.25,7733539277,['Mo-Sa 10:00-14:00']
-3.6027419,37.1798857,56,10,0.25,0.75,0.25,1,7987446032,['Mo-Fr 08:30-20:30']
-3.6058789,37.1736874,32,7,0.25,0.75,1,0.25,266215375,['Mo-Su 8:00-22:00']
-3.5984117,37.173689,51,2,0.75,0.25,0.25,1,1224372204,['Mo-Fr 09:00-14:00']
-3.60599361492785,37.1671310490152,40,9,1,0.25,0.75,0.5,7416732478,['Mo-Sa 10:00-14:00']
-3.6106892,37.1899388,56,10,0.75,0.25,0.25,1,6181603027,['Mo-Su 7:00-14:00']
-3.6017102,37.1764263,49,10,0.75,0.25,0.5,1,7991732830,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.6001362,37.1762263,20,2,1,0.5,0.75,0.5,1381791025,['Mo-Su 06:00-09:00']
-3.60816,37.159311,24,3,0.5,1,0.75,0.75,7192613253,['Mo-Su 7:00-14:00']
-3.6003587,37.1745365,46,5,0.25,1,0.5,0.25,476034321,['Mo-Fr 09:00-14:00']
-3.6032754,37.1833211,48,2,0.5,0.75,1,0.75,5810941429,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.6069155,37.1837316,44,2,0.75,0.25,0.25,1,5692844768,['Mo-Sa 10:00-14:00']
-3.5834718,37.1575469,37,7,0.75,1,0.5,0.5,7595798809,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.6035846,37.1770051,57,5,0.75,0.75,1,1,7991732810,['Mo-Fr 09:00-14:00']
